一	1	550
二	11	550
三	111	550
亖	1111	550
弎	111154	550
弐	111154	549
丰	1112	550
㻎	11121112134	520
彗	11121112511	550
熭	111211125114334	550
慧	111211125114544	550
砉	111213251	550
剨	11121325122	550
匤	1112145	550
匡	111215	550
㦱	11121534	520
邼	11121552	550
劻	11121553	550
耒	111234	550
耫	11123411212511134	550
耩	1112341122125211	550
耕	1112341132	550
耘	1112341154	550
耓	11123412	550
耤	11123412212511	550
䎯	11123412212511134	520
䎰	111234122125113312	520
䣢	1112341221251152	520
耯	1112341223241112154	550
耢	1112341224553	550
耨	1112341311534124	550
頛	111234132511134	550
耰	111234132511454544354	550
䎨	11123413425115	520
耟	1112341515	550
耖	1112342343	550
耥	11123424325251	550
耝	11123425111	550
䎪	11123425111124	520
耡	1112342511153	550
耬	11123425112512531	550
耦	111234251125214	550
耜	11123425151	550
	1112342522112154	530
	111234252215425113535	530
耗	1112343115	550
䎭	1112343121251454	520
䎢	111234315	520
㼍	11123433544	520
耠	111234341251	550
耣	11123434125122	550
䎥	1112343434251	520
䎫	111234345234354	520
耲	1112344125221241343534	550
耱	1112344131234123413251	550
䎧	11123441431251	520
䎮	11123441432512251	520
耪	1112344143454153	550
耧	111234431234531	550
𦔒	111234431554554	510
䎦	11123443344334	520
耮	111234433443344553	550
䎤	1112345135251	520
䣂	11123452	520
耔	111234521	550
耙	1112345215	550
耞	11123453251	550
耚	11123453254	550
耛	11123454251	550
䎣	1112345434	520
耭	111234554554134534	550
䎩	11123455525121	520
艳	1112355215	550
貳	111251113454	550
㓞	111253	520
栔	1112531234	550
䂮	11125313251	520
契	111253134	550
䫔	111253134132511134	520
㓶	11125313422	520
䚉	1112531342511135	520
㼤	1112531554	520
齧	111253212134341343452	550
𪘂	111253212143123452	510
蛪	111253251214	550
洯	1112532534	550
挈	1112533112	550
㸷	1112533112	520
觢	1112533535112	550
㗉	111253354251	520
䛚	1112534111251	520
贰	111253454	550
恝	1112534544	550
㛃	111253531	520
絜	111253554234	550
寿	1113124	550
焘	11131244444	550
邫	11132515215	550
	11134	530
𡗗	11134	510
奉	11134112	550
䳞	1113411232511154444	520
奏	111341134	550
